Date,World gold price,Federal Funds Effective Rate,U.S. Crude Oil First Purchase Price Dollars per Barrel,CPIAUCSL
2017-01-01,1192.1,0.65,48.19,243.618
2017-02-01,1234.2,0.66,49.41,244.006
2017-03-01,1231.42,0.79,46.39,243.892
2017-04-01,1266.88,0.9,47.23,244.193
2017-05-01,1246.04,0.91,45.19,244.004
2017-06-01,1260.26,1.04,42.17,244.163
2017-07-01,1236.84,1.15,43.42,244.243
2017-08-01,1283.04,1.16,44.96,245.183
2017-09-01,1314.07,1.15,47.17,246.435
2017-10-01,1279.51,1.15,49.12,246.626
2017-11-01,1281.9,1.16,55.19,247.284
2017-12-01,1264.45,1.3,56.98,247.805
2018-01-01,1331.3,1.41,62.25,248.859
2018-02-01,1330.73,1.42,61.18,249.529
2018-03-01,1324.66,1.51,60.68,249.577
2018-04-01,1334.76,1.69,63.5,250.227
2018-05-01,1303.45,1.7,66.16,250.792
2018-06-01,1281.57,1.82,62.8,251.018
2018-07-01,1237.71,1.91,67.0,251.214
2018-08-01,1201.71,1.91,62.64,251.663
2018-09-01,1198.39,1.95,63.54,252.182
2018-10-01,1215.39,2.19,65.18,252.772
2018-11-01,1220.65,2.2,55.65,252.594
2018-12-01,1250.4,2.27,47.63,252.767
2019-01-01,1291.75,2.4,48.0,252.718
2019-02-01,1320.07,2.4,52.6,253.322
2019-03-01,1300.9,2.41,57.46,254.202
2019-04-01,1285.91,2.42,63.0,255.211
2019-05-01,1283.7,2.39,59.73,255.29
2019-06-01,1359.04,2.38,54.34,255.159
2019-07-01,1412.89,2.4,56.47,255.685
2019-08-01,1500.41,2.13,53.63,256.059
2019-09-01,1510.58,2.04,55.14,256.511
2019-10-01,1494.81,1.83,53.14,257.244
2019-11-01,1470.79,1.55,54.96,257.803
2019-12-01,1479.13,1.55,58.41,258.616
2020-01-01,1560.67,1.55,56.55,259.037
2020-02-01,1597.1,1.58,49.66,259.248
2020-03-01,1591.93,0.65,31.01,258.124
2020-04-01,1683.17,0.05,15.18,256.092
2020-05-01,1715.91,0.05,18.02,255.868
2020-06-01,1732.22,0.08,33.81,256.986
2020-07-01,1846.51,0.09,37.44,258.278
2020-08-01,1968.63,0.1,39.37,259.411
2020-09-01,1921.92,0.09,36.82,260.029
2020-10-01,1900.27,0.09,36.39,260.286
2020-11-01,1866.3,0.09,38.25,260.813
2020-12-01,1858.42,0.09,43.92,262.035
2021-01-01,1866.98,0.09,49.47,262.65
2021-02-01,1808.17,0.08,56.44,263.638
2021-03-01,1718.23,0.07,60.43,264.914
2021-04-01,1760.04,0.07,59.87,266.67
2021-05-01,1850.26,0.06,62.8,268.444
2021-06-01,1834.57,0.08,68.58,270.559
2021-07-01,1807.84,0.1,70.12,271.764
2021-08-01,1785.28,0.09,65.68,272.87
2021-09-01,1775.14,0.08,69.09,274.028
2021-10-01,1776.85,0.08,78.51,276.522
2021-11-01,1821.76,0.08,76.45,278.711
2021-12-01,1790.43,0.08,70.56,280.887
2022-01-01,1816.02,0.08,80.33,282.599
2022-02-01,1856.3,0.08,89.41,284.61
